T:name: tropical 128 loc:piacere, tweet: 675148571948261376  :  im at @tropical128 in new york ny @link (40.71968945,-73.99528718)496145898
T:name: waldorf astoria loc:sir harry's, tweet: 675151587896107008  :  google holiday party tonight #waldorfastoria #nyc @ waldorf astoria new york @link (40.75652616,-73.97354189)74648019
M:name: rockwood music hall loc:rockwood music hall (stage zero), tweet: 675152312701161474  :  back at rockwood two nights in a row this time for johnny gallagher (@ rockwood music hall in new york ny @link (40.72231512,-73.9886473)19222156
T:name: boilermaker loc:bluebird coffee shop, tweet: 675152625256517633  :  pc cocktails  angry cobert #finalsweek # help #happyholidays @ boilermaker nyc @link (40.7234802,-73.9886322)130847331
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675157903108608009  :  it was beautiful knowing what came next #tbt @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)354853632
T:name: pardon my french loc:manitoba's, tweet: 675159202759856130  :  im at pmf pardon my french in new york ny @link (40.72481443,-73.98135866)90787112
T:name: jeepney loc:sao mai vietnamese cuisine, tweet: 675160773006663680  :  im at jeepney filipino gastropub  @jeepneynyc in new york ny @link (40.73028327,-73.9835)62179429
T:name: rare view rooftop loc:b and b restaurant, tweet: 675168070973935616  :  im at rare view rooftop in new york ny @link @link (40.74571703,-73.99363441)143320470
T:name: cafe bench loc:gal bi ma eul, tweet: 675171681183338496  :  heaven on a plate @ cafe bench @link (40.75804599,-73.78732616)950019493
T:name: waldorf astoria loc:sir harry's, tweet: 675172198097805312  :  love the holiday party at @waldorfastoria new york in new york ny w @paul_rock_city) @link @link (40.75648895,-73.97342119)34033707
T:name: boilermaker loc:bluebird coffee shop, tweet: 675176130526257153  :  im at boilermaker in new york ny @link (40.72325742,-73.98848661)38834308
T:name: roccos loc:le singe vert, tweet: 675178904483700736  :  perfect midnight snackpizza on the street #nyclife #foodie #foodieadventures @ roccos pizza @link (40.7420349,-73.9973297)315407331
T:name: turntable loc:small peace soup & smoothie, tweet: 675180361278713857  :  im at turntable chicken jazz  @turntablenyc in new york ny @link (40.74709728,-73.98569171)15987997
T:name: waldorf astoria loc:sir harry's, tweet: 675181048242774017  :  so about last night #lithappens @ waldorf astoria new york @link (40.75652616,-73.97354189)21968048
M:name: rockwood music hall loc:rockwood music hall (stage zero), tweet: 675186313008652288  :  im at rockwood music hall in new york ny @link (40.72231512,-73.9886473)19343695
T:name: waldorf astoria loc:sir harry's, tweet: 675186761765662721  :  shenanigans cydeweys #partytime #holidayseason #nyc #headdress #crown #roomies @ waldorf astoria @link (40.75652616,-73.97354189)163889868
T:name: blue note jazz loc:ramen-ya, tweet: 675191316251324416  :  with david sanborn at the @bluenotenyc. @ blue note jazz club ny @link (40.73088057,-74.00077046)29582587
T:name: falucka loc:le poisson rouge, tweet: 675197984850747393  :  shit turnt up  #faluckalounge in #manhattan @ falucka lounge nyc @link (40.7284431,-74.0000763)197054689
T:name: holiday cocktail lounge loc:taqueria st marks pl, tweet: 675221994447708160  :  im at holiday cocktail lounge in new york ny w @bqnguyen @link (40.72784146,-73.98573188)36997270
T:name: crystal lounge loc:after 8, tweet: 675223634726793216  :  #djmavstar imdjpereira and birthday boy #done @djxavinyc nyccrystallounge @ crystal lounge @link (40.7658043,-73.9132156)24981963
T:name: club bonafide loc:aki sushi, tweet: 675230801924112384  :  iresi project at club bonafide averhoffjr @fabiorojasdrums santiagobosch #jazz #newyork… @link (40.7565918,-73.9692917)2531063778
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675280040196743168  :  deeper down the rabbit hole @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)24811712
T:name: blue note jazz loc:ramen-ya, tweet: 675309083021348865  :  with david sanborn at the @bluenotenyc. @ blue note jazz club ny @link (40.73088057,-74.00077046)29582587
