name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 674750091060756481  :  wishing i was back at the met and not doing math @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)499030760
name: subway loc:panda house i, tweet: 674759034545786880  :  im at @subway restaurant in brooklyn ny @link (40.67698241,-73.86980822)19243536
name: metropolitan museum of art loc:metropolitan museum roof top garden cafe, tweet: 674766814547746816  :  my mood tonight #purple #nostalgia #ilovenewyork @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)23794300
name: minetta tavern loc:off the wagon, tweet: 674767950897917952  :  happy holidays from the elika team great dinner at minetta tavern #elikarealestate… @link (40.7299194,-74.0007553)17241184
name: applewood loc:hugo and sons, tweet: 674772330778894336  :  im at @applewoodny in brooklyn ny @link (40.66562872,-73.98228267)19124285
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 674772996884733952  :  private hours at the met @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)24079277
name: poco loc:sigmund pretzel shop, tweet: 674775128388075520  :  shes a #wizardofoz beauty @ poco restaurant  bar @link (40.7223701,-73.9829712)320792090
name: shinju loc:davidstea, tweet: 674775197350785024  :  im at shinju sushi in brooklyn ny @link (40.6698342,-73.97910315)375121650
name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 674778302708654081  :  astor court #metmuseum @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)21272564
name: waldorf astoria loc:peacock alley restaurant and bar, tweet: 674782865482190848  :  christmas at the waldorf @ waldorf astoria new york @link (40.75652616,-73.97354189)489847323
name: rockwood music hall loc:rockwood music hall (stage zero), tweet: 674783470950989825  :  im at rockwood music hall in new york ny @link (40.72231512,-73.9886473)19222156
name: pauls da burger joint loc:fasta pasta, tweet: 674783924682379264  :  now thats a burger @ pauls da burger joint @link (40.728611,-73.98806)52875435
name: union pizza works loc:the rookery, tweet: 674787667784114177  :  im at union pizza works in brooklyn ny @link (40.70735835,-73.92235071)82124534
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 674793653144039425  :  surreal #nightatthemuseum @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)24079277
name: waldorf astoria loc:peacock alley restaurant and bar, tweet: 674802204138717184  :  happy bday to my brother @shafferdc #weturningup @ waldorf astoria new york @link (40.75652616,-73.97354189)457696477
name: empire hotel rooftop loc:starbucks coffee, tweet: 674804298245644288  :  im at the empire hotel rooftop  @empirerooftop in new york ny @link (40.77134233,-73.98271948)107222738
name: waldorf astoria loc:waldorf astoria hotel, tweet: 674809690044432384  :  going to get my  good night  #nyc #sweetdreams #mrscharlier @ waldorf astoria new york @link (40.75652616,-73.97354189)292108720
name: the lambs club loc:jimmy's corner, tweet: 674818005663002624  :  hello louise pommeryusa @pommeryofficial 2002 @thelambsclub @ the lambs club @link (40.75656554,-73.98468519)634831191
name: pianos loc:bisous, ciao., tweet: 674843280148930560  :  slow life at @pianosnyc in new york ny @link (40.72111085,-73.98786106)62776004
name: waldorf astoria loc:peacock alley restaurant and bar, tweet: 674898737580273665  :  the waldorfastoria @ waldorf astoria new york @link (40.75652616,-73.97354189)393111194
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 674909001000218624  :  cool thing at the met lots and lots of tiffany stained glass @ the metropolitan museum of art @link (40.77912965,-73.96297384)19527137
name: tender trap loc:paulie gee, tweet: 674947850397212672  :  @link breaks #nelloluchi @ tender trap @link (40.72960361,-73.95845398)233595369
name: sant ambroeus loc:extra virgin, tweet: 674955343206752257  :  post @refinemethod fuel ????#coffeecoffeecoffee #westvillagelife #santambroeus @ sant ambroeus @link (40.7354012,-74.0031433)19930723
name: t 45 loc:red moon, tweet: 674963130267639808  :  the free hot apple cider is to die for (@ t45 in new york ny @link (40.757355,-73.9843)15739979
name: blue bottle coffee loc:the cannibal, tweet: 674963937805266944  :  good morning ny #streetdreamsmag #coffee #bluebottlecoffee #moodygrams #shootityourself… @link (40.7623367,-73.9970169)65756527
name: uno chicago grill loc:east 86 cinemas, tweet: 674987195862818816  :  im at uno pizzeria  grill  new york  @unochicagogrill in new york ny @link (40.77836415,-73.95343781)40368163
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 674998633742270464  :  just posted a photo @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)2227983184
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675004037666897921  :  btw the shirt im wearing today  @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)2573874602
name: waldorf astoria loc:peacock alley restaurant and bar, tweet: 675012464417837056  :  #ny #limcollege #art #drawing #pictures #fashion @ waldorf astoria new york @link (40.75652616,-73.97354189)488090440
name: essex loc:luca & bosco, tweet: 675013821476569089  :  tis the season #tamale #time at pueblas new location inside essexstreetmarket  @ essex @link (40.7193413,-73.9876022)42118048
name: culture espresso loc:pier 79/ny waterway seattle cafe, tweet: 675016508771299328  :  im at culture espresso in new york ny @link (40.75228555,-73.98580075)188527257
name: spicy shallot loc:wasabi point, tweet: 675019992518234112  :  thai day @ spicy shallot nyc @link (40.7437057,-73.8878326)38747641
name: untamed sandwiches loc:appetito restaurant, tweet: 675021210678337536  :  im at untamed sandwiches  @untamedsandwich in new york ny @link (40.75259136,-73.98458406)188527257
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675024044425539586  :  first stop @metmuseum  #nyc @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)137565439
name: refinery rooftop loc:lan sheng restaurant szechuan food, tweet: 675024783910658048  :  dont mind if i do #rooftop #lunch #nyc @ refinery rooftop @link (40.7523804,-73.9851913)28243893
name: dudleys loc:casa mezcal, tweet: 675025480576319488  :  big city big strides @ dudleys nyc @link (40.71810152,-73.99028333)38401894
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675028831187697664  :   @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)196302527
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675029018199121920  :   @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)196302527
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675029381715238912  :  just posted a photo @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)196302527
name: big booty bread loc:rin thai cuisine, tweet: 675029713773957120  :  bigbootybakery  yummy @ big booty bread company @link (40.7451515,-73.9977722)280662658
name: indikitch loc:ivy, tweet: 675031606034309121  :  im at @indikitch in new york ny @link @link (40.765819,-73.983354)5466992
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675032028727943174  :  huh this us noice @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)52046697
name: metropolitan museum of art loc:metropolitan museum roof top garden cafe, tweet: 675034375046742016  :  me atm @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
name: skylight diner loc:jonny's panini nyc, tweet: 675035796664135680  :  im at skylight diner in new york ny w @juhaendchen @link (40.75341407,-73.99658414)69759237
name: by chloe loc:the coffee bean tea & leaf, tweet: 675035902125699073  :  the closest i feel to home being away (@ by chloe  @bychefchloe in new york ny @link (40.72915196,-74.00114065)129120380
name: facebook loc:butterfield cafe, tweet: 675037565142085632  :  having a few laughs at facebook #minioffice  #facebook #parishpr @ facebook ny @link (40.73069144,-73.99154129)20255244
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675038276479225857  :  lotus and chill @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
name: new york stock exchange loc:new york stock exchange executive services, tweet: 675038319424757760  :  sara gilbert sighting new york new york new york stock exchange @link (40.7068661,-74.0113189)81237494
name: new york stock exchange loc:new york stock exchange executive services, tweet: 675038321052098561  :  sharon osbourne sighting new york new york new york stock exchange @link @mrssosbourne (40.7068661,-74.0113189)81237494
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675040458029010944  :  xoxo #almypal @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)193044735
name: sant ambroeus loc:extra virgin, tweet: 675044378302390272  :  feet @ sant ambroeus west village @link (40.7354012,-74.0031433)2213296180
name: indikitch loc:ivy, tweet: 675046759895289857  :  im at @indikitch in new york ny @link (40.765819,-73.983354)35940413
name: ootoya loc:village taverna greek grill, tweet: 675047611972362244  :  foodporn shot @ ootoya @link (40.7333107,-73.9929962)210493186
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675047798912507904  :  hey honus @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
